,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_offset12[5],-0.391,0.927,-2.065,1.372,0.02,0.014,2134.0,2095.0,1.0
b_offset12[6],-0.608,0.93,-2.251,1.197,0.022,0.015,1843.0,2479.0,1.0
b_offset12[7],-0.481,0.898,-2.259,1.127,0.02,0.014,1996.0,2205.0,1.0
b_offset12[8],0.132,0.867,-1.492,1.723,0.019,0.013,2182.0,2200.0,1.0
b_offset12[9],0.051,0.88,-1.561,1.784,0.02,0.014,1988.0,2113.0,1.0
b_offset12[10],0.502,0.909,-1.08,2.347,0.022,0.016,1664.0,1773.0,1.0
b_offset12[11],-0.116,0.951,-1.94,1.625,0.023,0.016,1696.0,2062.0,1.0
b_offset12[12],0.527,0.968,-1.317,2.294,0.022,0.016,1970.0,1950.0,1.0
b_offset12[13],0.586,0.931,-1.18,2.298,0.022,0.016,1732.0,2255.0,1.0
b_offset12[14],0.357,0.964,-1.497,2.064,0.02,0.014,2250.0,2284.0,1.0
b_offset12[15],-0.116,0.876,-1.698,1.579,0.02,0.014,1950.0,2197.0,1.0
b_offset12[16],0.086,0.864,-1.572,1.673,0.02,0.014,1934.0,2255.0,1.0
b_offset12[17],0.512,0.942,-1.284,2.235,0.023,0.016,1702.0,2112.0,1.0
b_offset12[18],0.209,0.91,-1.508,1.881,0.02,0.015,2151.0,1974.0,1.0
b_offset12[19],0.048,0.91,-1.637,1.739,0.018,0.015,2576.0,2465.0,1.0
b_offset12[20],0.192,0.935,-1.606,1.919,0.019,0.015,2349.0,2591.0,1.0
b_offset12[21],0.389,0.919,-1.305,2.089,0.019,0.014,2259.0,2613.0,1.0
b_offset12[22],0.216,0.945,-1.551,2.0,0.021,0.015,2109.0,2345.0,1.0
b_offset12[23],-0.17,0.93,-1.824,1.629,0.018,0.015,2636.0,2551.0,1.0
b_offset12[24],0.152,0.894,-1.455,1.932,0.02,0.014,1926.0,2282.0,1.0
b_offset12[25],-0.292,0.88,-1.96,1.377,0.021,0.015,1700.0,2213.0,1.0
b_offset12[26],0.252,0.831,-1.277,1.867,0.02,0.014,1769.0,2180.0,1.0
b_offset12[27],-0.149,0.858,-1.705,1.548,0.019,0.014,2056.0,2240.0,1.0
b_offset12[28],0.18,0.91,-1.604,1.805,0.018,0.014,2617.0,2691.0,1.0
b_offset12[29],0.08,0.9,-1.613,1.771,0.019,0.015,2268.0,1903.0,1.0
b_offset12[30],-0.651,0.944,-2.321,1.242,0.023,0.016,1732.0,1975.0,1.0
b_offset12[31],0.024,0.881,-1.598,1.718,0.02,0.014,1968.0,1975.0,1.0
b_offset12[32],0.042,0.881,-1.657,1.656,0.019,0.014,2232.0,2193.0,1.0
b_offset12[33],-0.185,0.927,-1.798,1.729,0.019,0.015,2358.0,2302.0,1.0
mu_b13,0.112,0.037,0.042,0.18,0.001,0.001,987.0,1049.0,1.0
b_offset13[0],0.032,0.973,-1.666,1.967,0.019,0.016,2602.0,2423.0,1.0
b_offset13[1],-0.064,0.963,-1.941,1.72,0.019,0.015,2557.0,2484.0,1.0
b_offset13[2],-0.015,0.954,-1.818,1.779,0.019,0.015,2409.0,2065.0,1.0
b_offset13[3],0.203,0.987,-1.679,1.953,0.021,0.016,2142.0,2527.0,1.0
b_offset13[4],0.109,0.995,-1.684,2.054,0.02,0.016,2516.0,2339.0,1.0
b_offset13[5],0.083,0.975,-1.743,1.931,0.021,0.016,2074.0,2196.0,1.0
b_offset13[6],0.16,0.994,-1.805,1.945,0.024,0.017,1788.0,1988.0,1.0
b_offset13[7],0.029,0.968,-1.74,1.872,0.018,0.016,2789.0,2419.0,1.0
b_offset13[8],-0.116,0.978,-1.857,1.78,0.02,0.016,2423.0,2502.0,1.0
b_offset13[9],-0.128,0.944,-1.995,1.541,0.021,0.015,2108.0,2435.0,1.0
b_offset13[10],-0.034,0.975,-1.788,1.862,0.023,0.016,1858.0,2155.0,1.0
b_offset13[11],-0.088,0.988,-1.936,1.752,0.019,0.016,2609.0,2563.0,1.0
b_offset13[12],-0.069,0.999,-1.818,1.872,0.02,0.016,2406.0,2335.0,1.0
b_offset13[13],0.061,1.006,-1.859,1.882,0.02,0.016,2507.0,2760.0,1.0
b_offset13[14],0.015,0.969,-1.91,1.74,0.019,0.016,2484.0,2360.0,1.0
b_offset13[15],-0.276,1.02,-2.274,1.526,0.022,0.017,2055.0,2052.0,1.0
b_offset13[16],-0.125,0.969,-1.838,1.739,0.02,0.015,2272.0,2823.0,1.0
b_offset13[17],-0.127,0.978,-1.827,1.781,0.021,0.017,2121.0,2632.0,1.0
b_offset13[18],0.069,0.982,-1.686,1.956,0.021,0.016,2200.0,2394.0,1.0
b_offset13[19],0.141,0.966,-1.563,2.006,0.019,0.015,2651.0,2680.0,1.0
b_offset13[20],0.047,0.977,-1.859,1.786,0.019,0.015,2562.0,2634.0,1.0
b_offset13[21],-0.045,0.952,-1.807,1.722,0.021,0.015,2065.0,2316.0,1.0
b_offset13[22],-0.118,0.989,-2.065,1.648,0.022,0.016,2074.0,2560.0,1.0
b_offset13[23],0.304,0.989,-1.47,2.21,0.021,0.016,2315.0,2085.0,1.0
b_offset13[24],-0.06,0.951,-1.973,1.613,0.021,0.017,2093.0,1810.0,1.0
