,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b10[2017-2018],0.018,0.019,-0.019,0.051,0.004,0.003,22.0,65.0,1.12
b10[2018-2019],0.022,0.018,-0.011,0.058,0.004,0.003,21.0,102.0,1.13
b10[2019-2020],0.019,0.018,-0.014,0.053,0.004,0.003,22.0,91.0,1.12
b10[2020-2021],0.019,0.019,-0.02,0.052,0.004,0.003,24.0,63.0,1.11
b10[2021-2022],0.021,0.018,-0.013,0.057,0.004,0.003,21.0,98.0,1.13
mu_b11,-0.133,0.286,-0.667,0.415,0.091,0.066,10.0,30.0,1.33
b11[1988-1989],-0.196,0.398,-0.968,0.547,0.086,0.062,21.0,66.0,1.14
b11[1989-1990],-0.224,0.404,-0.991,0.531,0.083,0.059,23.0,95.0,1.12
b11[1990-1991],-0.201,0.393,-0.878,0.602,0.087,0.063,20.0,79.0,1.13
b11[1991-1992],-0.158,0.396,-0.884,0.666,0.081,0.058,24.0,73.0,1.12
b11[1992-1993],0.083,0.427,-0.669,0.882,0.112,0.081,15.0,128.0,1.19
b11[1993-1994],0.109,0.432,-0.642,0.955,0.123,0.089,13.0,73.0,1.23
b11[1994-1995],-0.144,0.376,-0.822,0.603,0.091,0.065,17.0,59.0,1.16
b11[1995-1996],-0.228,0.353,-0.915,0.442,0.077,0.055,21.0,51.0,1.14
b11[1996-1997],-0.303,0.396,-1.015,0.532,0.077,0.055,26.0,78.0,1.12
b11[1997-1998],-0.18,0.4,-0.871,0.663,0.091,0.065,20.0,83.0,1.14
b11[1998-1999],0.229,0.457,-0.523,1.1,0.133,0.097,12.0,59.0,1.24
b11[1999-2000],-0.023,0.396,-0.657,0.838,0.102,0.074,16.0,83.0,1.18
b11[2000-2001],-0.308,0.416,-1.116,0.474,0.072,0.051,33.0,78.0,1.09
b11[2001-2002],-0.345,0.411,-1.089,0.502,0.072,0.051,32.0,55.0,1.1
b11[2002-2003],-0.355,0.423,-1.223,0.416,0.061,0.044,45.0,101.0,1.07
b11[2003-2004],-0.08,0.384,-0.791,0.661,0.095,0.068,17.0,112.0,1.17
b11[2004-2005],-0.227,0.38,-0.976,0.5,0.074,0.053,25.0,105.0,1.12
b11[2005-2006],-0.189,0.419,-0.98,0.619,0.079,0.056,27.0,162.0,1.11
b11[2006-2007],-0.283,0.405,-1.005,0.561,0.076,0.054,27.0,113.0,1.11
b11[2007-2008],-0.325,0.417,-1.083,0.519,0.07,0.05,33.0,91.0,1.09
b11[2008-2009],-0.209,0.399,-0.958,0.565,0.088,0.063,20.0,68.0,1.13
b11[2009-2010],-0.321,0.425,-1.112,0.526,0.074,0.053,30.0,63.0,1.1
b11[2010-2011],-0.069,0.412,-0.8,0.75,0.098,0.07,18.0,93.0,1.15
b11[2011-2012],-0.014,0.409,-0.686,0.834,0.109,0.079,15.0,69.0,1.19
b11[2012-2013],-0.131,0.403,-0.924,0.604,0.098,0.071,17.0,50.0,1.16
