,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_offset10[0],0.331,0.618,-0.795,1.094,0.296,0.225,5.0,15.0,2.19
b_offset10[1],0.323,0.455,-0.405,1.133,0.204,0.154,5.0,15.0,2.27
mu_b11,-0.186,0.63,-0.838,0.596,0.314,0.24,4.0,13.0,3.7
b_offset11[0],0.277,0.571,-0.593,0.927,0.282,0.216,5.0,20.0,2.93
b_offset11[1],-0.337,1.118,-1.829,0.764,0.55,0.42,5.0,12.0,2.8
mu_b12,-0.139,0.472,-0.819,0.524,0.235,0.18,5.0,20.0,3.19
b_offset12[0],0.087,0.165,-0.124,0.341,0.081,0.062,4.0,15.0,3.17
b_offset12[1],0.051,0.57,-0.569,0.956,0.284,0.217,5.0,20.0,3.11
mu_b13,-0.198,0.214,-0.471,0.065,0.105,0.081,5.0,12.0,2.49
b_offset13[0],-0.39,0.513,-0.963,0.442,0.239,0.185,5.0,34.0,2.51
b_offset13[1],0.928,1.846,-0.529,4.544,0.898,0.685,5.0,16.0,2.52
mu_b14,0.091,0.4,-0.6,0.673,0.193,0.147,4.0,14.0,3.69
b_offset14[0],0.155,0.288,-0.155,0.841,0.131,0.099,5.0,12.0,2.71
b_offset14[1],0.03,0.322,-0.388,0.606,0.153,0.116,5.0,11.0,2.82
mu_b15,-0.013,0.574,-0.952,0.52,0.285,0.218,4.0,16.0,3.41
b_offset15[0],-0.042,0.208,-0.236,0.3,0.102,0.078,5.0,14.0,3.1
b_offset15[1],0.043,0.611,-1.355,0.574,0.277,0.209,5.0,13.0,2.95
